;index;YEARMODA;TEMP;MAX;MIN;DIFF;TEMP_CELSIUS;TEMP_KELVIN
0;14;20160615;63.4;70.3;49.3;21.0;17.44;290.59
1;16;20160617;60.4;70.7;55.9;14.800000000000004;15.78;288.92999999999995
2;19;20160620;59.3;69.1;52.2;16.89999999999999;15.17;288.32
3;20;20160621;62.6;71.4;50.4;21.000000000000007;17.0;290.15
4;21;20160622;61.7;70.2;55.4;14.800000000000004;16.5;289.65
5;22;20160623;60.9;67.1;54.9;12.199999999999996;16.06;289.21
6;23;20160624;61.1;68.9;56.7;12.200000000000003;16.17;289.32
7;24;20160625;65.7;75.4;57.9;17.500000000000007;18.72;291.87
8;25;20160626;69.6;77.7;60.3;17.400000000000006;20.89;294.03999999999996
10;27;20160628;65.4;73.0;55.8;17.200000000000003;18.56;291.71
12;29;20160630;65.7;72.7;59.2;13.5;18.72;291.87
